image_id,file_name,height,width,vehicle_count
0,DOH_10_mp4-5_jpg.rf.1b99964f5eada026f922d242423833c8.jpg,416,416,4
1,DOH--video-converter_com-_mp4-29_jpg.rf.1bb7916009842fd8b5583a31b81a6ac1.jpg,416,416,6
2,DOH_mp4-15_jpg.rf.1bca0d965b9c7bdf418f144f385e7c75.jpg,416,416,5
3,DOH_12_mp4-1_jpg.rf.1bab660cb143eedf004f4f4594425e43.jpg,416,416,2
4,DOH_mp4-13_jpg.rf.1bf23eb96868d1d271d4e44f622963a2.jpg,416,416,6
5,DOH_mp4-2_jpg.rf.1bf64218a22cb3c69a967e73c286e9ec.jpg,416,416,8
6,DOH_5_mp4-17_jpg.rf.1c078166ddf55c40ccc1a7d101fc603c.jpg,416,416,7
7,DOH_7_mp4-25_jpg.rf.1c08af0988c66a5c2d4d8b51e0a5ff17.jpg,416,416,7
8,DOH_2_mp4-9_jpg.rf.1c0d2bf72461a52a02b28a1166b73fca.jpg,416,416,5
9,DOH_16_mp4-0_jpg.rf.1c1a1377f026633f694f5fd883a13a11.jpg,416,416,2
10,DOH_mp4-29_jpg.rf.1c21b3ff70a6bf29ab1608140562cffd.jpg,416,416,12
11,583_jpg.rf.1c26c89e2efb08e1375a40393968d0d2.jpg,416,416,10
12,DOH_5_mp4-0_jpg.rf.1c327726254f264c3582ba2537b5358d.jpg,416,416,6
13,DOH_5_mp4-15_jpg.rf.1c336d28a04f3525fc9d26c40234466e.jpg,416,416,7
14,DOH_18_mp4-8_jpg.rf.1ce5c909486f87285f26696abc9c34f2.jpg,416,416,3
15,DOH_5_mp4-21_jpg.rf.1c45c1263d5ccfd18e8c5de321cc1864.jpg,416,416,7
16,DOH_7_mp4-10_jpg.rf.1cc501d44a908bb943ae4ddcbb209eaa.jpg,416,416,4
17,DOH_mp4-4_jpg.rf.1cd05645819cef37b6f6809043442e03.jpg,416,416,2
18,DOH_mp4-23_jpg.rf.1ccf9d4f050c432a027b0324f4908f29.jpg,416,416,3
19,DOH_2_mp4-3_jpg.rf.1c3dfd3d50010cc2faff52c7ff210259.jpg,416,416,6
20,DOH_2_mp4-8_jpg.rf.1cd59ca755690b4e9da64dd8af5807cc.jpg,416,416,7
21,DOH_34_mp4-13_jpg.rf.1cebbecaeabff6b3464bda8c340c1199.jpg,416,416,5
22,DOH_21_mp4-13_jpg.rf.1cef6d1d0f22fc9cb6620ff6816d2d77.jpg,416,416,1
23,DOH_5--video-converter_com-_mp4-6_jpg.rf.1cf653a9f3329804ab3e43f1b999bf49.jpg,416,416,15
24,DOH_7--video-converter_com-_mp4-14_jpg.rf.1c57af988c93009a0724dd189c05891a.jpg,416,416,2
25,DOH_mp4-21_jpg.rf.1d4bc79cdb15f7937d1f3734e83c2889.jpg,416,416,1
