id,image_id,category_id,bbox,file_name,height,width,vehicle_count
0,0,4,"[102, 150, 35, 43.5]",DOH_10_mp4-5_jpg.rf.1b99964f5eada026f922d242423833c8.jpg,416,416,4
1,0,5,"[162, 163, 21.5, 24]",DOH_10_mp4-5_jpg.rf.1b99964f5eada026f922d242423833c8.jpg,416,416,4
2,0,5,"[133, 169, 21.5, 18]",DOH_10_mp4-5_jpg.rf.1b99964f5eada026f922d242423833c8.jpg,416,416,4
3,0,3,"[147, 223, 35.5, 43]",DOH_10_mp4-5_jpg.rf.1b99964f5eada026f922d242423833c8.jpg,416,416,4
4,1,9,"[88, 110, 66, 58]",DOH--video-converter_com-_mp4-29_jpg.rf.1bb7916009842fd8b5583a31b81a6ac1.jpg,416,416,6
5,1,3,"[216, 139, 27, 28]",DOH--video-converter_com-_mp4-29_jpg.rf.1bb7916009842fd8b5583a31b81a6ac1.jpg,416,416,6
6,1,5,"[181, 146, 24.5, 34.5]",DOH--video-converter_com-_mp4-29_jpg.rf.1bb7916009842fd8b5583a31b81a6ac1.jpg,416,416,6
7,1,9,"[26, 154, 65, 54]",DOH--video-converter_com-_mp4-29_jpg.rf.1bb7916009842fd8b5583a31b81a6ac1.jpg,416,416,6
8,1,3,"[61, 174, 35.5, 37.5]",DOH--video-converter_com-_mp4-29_jpg.rf.1bb7916009842fd8b5583a31b81a6ac1.jpg,416,416,6
9,1,3,"[41, 272, 83.5, 120.5]",DOH--video-converter_com-_mp4-29_jpg.rf.1bb7916009842fd8b5583a31b81a6ac1.jpg,416,416,6
10,2,3,"[124, 275, 43, 63.5]",DOH_mp4-15_jpg.rf.1bca0d965b9c7bdf418f144f385e7c75.jpg,416,416,5
11,2,3,"[217, 299, 44, 56]",DOH_mp4-15_jpg.rf.1bca0d965b9c7bdf418f144f385e7c75.jpg,416,416,5
12,2,5,"[109, 330, 46.5, 56]",DOH_mp4-15_jpg.rf.1bca0d965b9c7bdf418f144f385e7c75.jpg,416,416,5
13,2,5,"[22, 345, 41, 54]",DOH_mp4-15_jpg.rf.1bca0d965b9c7bdf418f144f385e7c75.jpg,416,416,5
14,2,5,"[374, 337, 42, 79]",DOH_mp4-15_jpg.rf.1bca0d965b9c7bdf418f144f385e7c75.jpg,416,416,5
15,3,9,"[335, 190, 81, 90]",DOH_12_mp4-1_jpg.rf.1bab660cb143eedf004f4f4594425e43.jpg,416,416,2
16,3,5,"[240, 251, 35, 51]",DOH_12_mp4-1_jpg.rf.1bab660cb143eedf004f4f4594425e43.jpg,416,416,2
17,4,9,"[92, 130, 41.5, 65]",DOH_mp4-13_jpg.rf.1bf23eb96868d1d271d4e44f622963a2.jpg,416,416,6
18,4,3,"[272, 162, 21, 26.5]",DOH_mp4-13_jpg.rf.1bf23eb96868d1d271d4e44f622963a2.jpg,416,416,6
19,4,3,"[149, 194, 23, 39]",DOH_mp4-13_jpg.rf.1bf23eb96868d1d271d4e44f622963a2.jpg,416,416,6
20,4,9,"[30, 197, 55.5, 95.5]",DOH_mp4-13_jpg.rf.1bf23eb96868d1d271d4e44f622963a2.jpg,416,416,6
21,4,3,"[146, 252, 27, 52]",DOH_mp4-13_jpg.rf.1bf23eb96868d1d271d4e44f622963a2.jpg,416,416,6
22,4,9,"[85, 260, 42, 85]",DOH_mp4-13_jpg.rf.1bf23eb96868d1d271d4e44f622963a2.jpg,416,416,6
23,5,3,"[143, 172, 20.5, 28]",DOH_mp4-2_jpg.rf.1bf64218a22cb3c69a967e73c286e9ec.jpg,416,416,8
24,5,6,"[174, 182, 23.5, 37.5]",DOH_mp4-2_jpg.rf.1bf64218a22cb3c69a967e73c286e9ec.jpg,416,416,8
25,5,10,"[111, 184, 25.5, 48]",DOH_mp4-2_jpg.rf.1bf64218a22cb3c69a967e73c286e9ec.jpg,416,416,8
26,5,6,"[218, 208, 32, 36.5]",DOH_mp4-2_jpg.rf.1bf64218a22cb3c69a967e73c286e9ec.jpg,416,416,8
27,5,3,"[280, 204, 41, 56]",DOH_mp4-2_jpg.rf.1bf64218a22cb3c69a967e73c286e9ec.jpg,416,416,8
28,5,3,"[201, 239, 34.5, 47]",DOH_mp4-2_jpg.rf.1bf64218a22cb3c69a967e73c286e9ec.jpg,416,416,8
29,5,5,"[181, 304, 42, 60.5]",DOH_mp4-2_jpg.rf.1bf64218a22cb3c69a967e73c286e9ec.jpg,416,416,8
30,5,3,"[318, 297, 73, 83]",DOH_mp4-2_jpg.rf.1bf64218a22cb3c69a967e73c286e9ec.jpg,416,416,8
31,6,3,"[305, 208, 21, 41.5]",DOH_5_mp4-17_jpg.rf.1c078166ddf55c40ccc1a7d101fc603c.jpg,416,416,7
